epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.8487,1.31878,0.8382,0.9924,0.4742,0.000237696,0.000237696,0.000237696
2,127.248,0.62684,0.8681,0.996,0.38043,0.000428602,0.000428602,0.000428602
3,169.252,0.55882,0.8742,0.9964,0.36737,0.000572384,0.000572384,0.000572384
4,211.498,0.51156,0.8892,0.9968,0.32141,0.000501942,0.000501942,0.000501942
5,253.161,0.45216,0.8977,0.9965,0.29339,0.000431256,0.000431256,0.000431256
6,294.565,0.40856,0.9043,0.9981,0.27379,0.00036057,0.00036057,0.00036057
7,335.575,0.37127,0.9142,0.9983,0.24763,0.000289884,0.000289884,0.000289884
8,377.948,0.33812,0.9199,0.9981,0.22642,0.000219198,0.000219198,0.000219198
9,420.946,0.31114,0.921,0.9986,0.22409,0.000148512,0.000148512,0.000148512
10,465.288,0.28601,0.9252,0.9987,0.21318,7.7826e-05,7.7826e-05,7.7826e-05
