epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.962,2.31609,3.41906,1.57876,0.30468,0.33697,0.23283,0.12074,1.88232,1.73612,1.27486,0.00010003,0.00010003,0.00010003
2,30.6783,1.66524,1.15199,1.21557,0.55736,0.70477,0.65208,0.33306,1.67452,1.40829,1.23095,0.000212228,0.000212228,0.000212228
3,44.212,1.50808,0.88187,1.15077,0.71844,0.68281,0.7169,0.39351,1.50725,1.05955,1.15544,0.000322162,0.000322162,0.000322162
4,60.5336,1.45541,0.81981,1.13745,0.7989,0.68835,0.79695,0.46987,1.43703,1.02889,1.11717,0.000429833,0.000429833,0.000429833
5,73.8223,1.4203,0.75803,1.13227,0.75919,0.84494,0.88147,0.5178,1.45153,1.12,1.13175,0.000535241,0.000535241,0.000535241
6,85.737,1.39575,0.72809,1.11831,0.78575,0.80854,0.84104,0.5033,1.4166,1.20133,1.13089,0.000638384,0.000638384,0.000638384
7,106.539,1.39193,0.71375,1.10298,0.75642,0.75932,0.8377,0.46832,1.433,1.10011,1.13709,0.000739265,0.000739265,0.000739265
8,119.612,1.36927,0.68609,1.08742,0.72598,0.79144,0.81862,0.44323,1.54822,1.06108,1.18286,0.000837881,0.000837881,0.000837881
9,133.366,1.35774,0.70957,1.0818,0.73489,0.84019,0.82612,0.4614,1.46242,1.09634,1.13384,0.000934234,0.000934234,0.000934234
10,139.691,1.35207,0.72824,1.08733,0.76945,0.79188,0.83022,0.47448,1.48408,0.84008,1.15334,0.00102832,0.00102832,0.00102832
11,150.752,1.35031,0.71872,1.09364,0.81121,0.78835,0.875,0.48974,1.4613,1.02879,1.12559,0.00112015,0.00112015,0.00112015
12,160.038,1.34529,0.75092,1.08051,0.85224,0.76839,0.87046,0.48901,1.46155,0.7839,1.12954,0.00120971,0.00120971,0.00120971
13,172.716,1.34079,0.71763,1.09734,0.87411,0.80261,0.88833,0.52411,1.44859,0.80806,1.14446,0.00125923,0.00125923,0.00125923
14,187.156,1.30902,0.66883,1.06584,0.82889,0.92322,0.91991,0.55467,1.40935,0.68894,1.10641,0.00124509,0.00124509,0.00124509
15,197.508,1.32613,0.65904,1.05325,0.78579,0.91496,0.90318,0.54314,1.42907,0.75242,1.1058,0.00123094,0.00123094,0.00123094
16,210.972,1.25902,0.62887,1.0304,0.85142,0.91894,0.91783,0.57299,1.42031,0.69062,1.10236,0.00121679,0.00121679,0.00121679
17,225.219,1.2727,0.60514,1.06387,0.84994,0.8938,0.9258,0.57058,1.39736,0.72346,1.11008,0.00120265,0.00120265,0.00120265
18,233.66,1.28609,0.61356,1.07398,0.90324,0.88434,0.9218,0.54396,1.49403,0.70092,1.141,0.0011885,0.0011885,0.0011885
19,243.563,1.2907,0.61332,1.06223,0.84093,0.91102,0.92748,0.54431,1.3999,0.72565,1.10605,0.00117435,0.00117435,0.00117435
20,255.964,1.28214,0.62484,1.06469,0.87767,0.92765,0.94562,0.58292,1.39818,0.65855,1.08969,0.00116021,0.00116021,0.00116021
21,267.942,1.25075,0.59063,1.03061,0.86219,0.90667,0.95315,0.57808,1.41334,0.68955,1.09496,0.00114606,0.00114606,0.00114606
22,275.996,1.24398,0.60283,1.04131,0.82445,0.92038,0.96368,0.54158,1.39389,0.65922,1.09919,0.00113191,0.00113191,0.00113191
23,289.318,1.26779,0.60174,1.03838,0.86714,0.91573,0.94045,0.57348,1.39882,0.63074,1.09659,0.00111776,0.00111776,0.00111776
24,299.715,1.24012,0.56672,1.03452,0.86912,0.91564,0.94897,0.54429,1.40781,0.62982,1.10201,0.00110362,0.00110362,0.00110362
